id,poland,longitude,latitude,optional
1954,P1512,25.60555922,49.55588989,TRUE
1955,P1512,25.60555922,49.55588989,TRUE
1956,P1512,25.60555922,49.55588989,TRUE
1957,P1512,25.60555922,49.55588989,TRUE
117,P1511,26.00916591,49.32888888,TRUE
608,P1511,26.1189488,49.46730987,TRUE
1511,P1511,25.98610993,49.48611088,TRUE
1037,P1510,25.01805553,50.30111092,TRUE
1541,P1510,24.63333267,50.26666693,TRUE
1542,P1510,24.63333267,50.26666693,TRUE
1637,P1510,24.63333267,50.26666693,TRUE
1638,P1510,24.63333267,50.26666693,TRUE
1748,P1510,24.63333267,50.27916693,TRUE
1921,P1510,25.02724952,50.27080992,TRUE
218,P1509,24.54666671,49.64749994,TRUE
947,P1509,24.50305572,49.84749994,TRUE
1359,P1509,24.42111074,49.72055594,TRUE
1360,P1509,24.42111074,49.72055594,TRUE
1599,P1509,24.5584597,49.66522994,TRUE
1600,P1509,24.5584597,49.66522994,TRUE
1601,P1509,24.5584597,49.66522994,TRUE
1602,P1509,24.5584597,49.66522994,TRUE
1911,P1509,24.43952974,49.64875994,TRUE
118,P1508,25.1341665,49.28333292,TRUE
119,P1508,25.1341665,49.28333292,TRUE
120,P1508,25.1341665,49.28333292,TRUE
121,P1508,25.1341665,49.28333292,TRUE
122,P1508,25.1341665,49.28333292,TRUE
123,P1508,25.1341665,49.28333292,TRUE
124,P1508,25.1341665,49.28333292,TRUE
125,P1508,25.1341665,49.28333292,TRUE
126,P1508,25.1341665,49.28333292,TRUE
127,P1508,25.1341665,49.28333292,TRUE
128,P1508,25.1341665,49.28333292,TRUE
129,P1508,25.1341665,49.28333292,TRUE
130,P1508,25.1341665,49.28333292,TRUE
131,P1508,25.1341665,49.28333292,TRUE
132,P1508,25.1341665,49.28333292,TRUE
133,P1508,25.1341665,49.28333292,TRUE
134,P1508,25.1341665,49.28333292,TRUE
135,P1508,25.1341665,49.28333292,TRUE
136,P1508,25.1341665,49.28333292,TRUE
137,P1508,25.1341665,49.28333292,TRUE
1516,P1508,25.1334095,49.26852992,TRUE
3025,P1508,25.21333246,49.20111091,TRUE
150,P1507,24.59555569,50.11444394,TRUE
1749,P1507,24.42165973,50.18249994,TRUE
719,P1506,25.89999902,49.09999988,TRUE
720,P1506,25.89999902,49.09999988,TRUE
721,P1506,25.89999902,49.09999988,TRUE
722,P1506,25.89999902,49.09999988,TRUE
723,P1506,25.89999902,49.09999988,TRUE
724,P1506,25.89999902,49.09999988,TRUE
1257,P1506,25.89999902,49.12055588,TRUE
325,P1505,25.79803911,49.01708989,TRUE
