city,longitude,latitude,count,scale
Obrzyck,16.529168,52.706389,2,2
Orla,23.33213,52.70546,2,2
Osieczna,18.20314,53.77129,2,2
Ostroleka,21.57566,53.08621,2,2
OstrówWielkopolski,17.80686,51.65501,2,2
Parczew,22.866984,51.640733,2,2
Piaseczno,21.02397,52.0814,2,2
Pinczów,20.52649,50.52052,2,2
Plock,19.70638,52.54682,2,2
Pszczyna,18.95382,49.98037,2,2
Puck,18.40841,54.7179,2,2
Radoszyce,20.2703,51.0636,2,2
Radyvyliv,25.25576,50.12994,2,2
Radzanów,20.091945,52.943056,2,2
Rohatyn,24.60927,49.409,2,2
Romanivka,24.36277,50.44,2,2
Rybnik,18.54179,50.09713,2,2
Rzeszów,21.99901,50.04132,2,2
Siedlce,22.29006,52.16772,2,2
Skala-Podilska,26.19909,48.85149,2,2
Skarzysko-Kamienna,20.87162,51.11311,2,2
Sluzewo,18.643612,52.856111,2,2
Sokal,24.28288,50.47438,2,2
SokolówPodlaski,22.25307,52.40677,2,2
Sompolno,18.50282,52.38832,2,2
StarogardGdanski,18.52638,53.96396,2,2
StarySacz,20.63496,49.56364,2,2
Stawiski,22.15462,53.37987,2,2
Stryj,23.85609,49.26223,2,2
Suchowola,23.101667,53.579444,2,2
Suwalki,22.93087,54.11175,2,2
Szczebrzeszyn,22.97954,50.69499,2,2
Szydlowiec,20.86106,51.22823,2,2
Tarnobrzeg,21.67937,50.57304,2,2
Tarnogród,22.74174,50.3609,2,2
TarnowskieGóry,18.86147,50.44548,2,2
Tczew,18.777331,54.092192,2,2
TomaszówLubelski,23.41616,50.44767,2,2
Trzebinia,19.46966,50.15931,2,2
Turobin,22.738,50.8197,2,2
Uhniv,23.74895,50.36811,2,2
Velyki,26.86626,50.65431,2,2
Wielun,18.56964,51.22097,2,2
WodzislawSlaski,18.47205,50.00377,2,2
Wojslawice,23.54602,50.91916,2,2
WolaMichowa,22.164723,49.230833,2,2
Wolborz,19.84144,51.49615,2,2
Wyrzysk,17.26802,53.153,2,2
WysokieMazowieckie,22.51712,52.91661,2,2
Zbaszyn,15.9252,52.2509,2,2
ZdunskaWola,18.939168,51.606111,2,2
Zgierz,19.40623,51.85561,2,2
Zólkiewka,22.834167,50.911111,2,2
Zory,18.70062,50.04523,2,2
Zywiec,19.19243,49.68529,2,2
Adamów,22.261111,51.743611,1,1
AleksandrówKujawski,18.69345,52.87659,1,1
Antoniów,21.891389,50.731667,1,1
Babiak,18.66663,52.3453,1,1
Bakalarzewo,22.65218,54.09398,1,1
Belzyce,22.28027,51.17415,1,1
Berestechko,25.11071,50.36047,1,1
Berezhany,24.93333,49.45,1,1
Biala,19.04686,49.82245,1,1
Biecz,21.26301,49.73596,1,1
BielskPodlaski,23.18647,52.76512,1,1
Bierun,19.09291,50.09,1,1
Bilshivtsi,24.75,49.18333,1,1
Biskupice,22.944722,51.152778,1,1
Bobowa,20.94767,49.70866,1,1
Bobowo,18.556111,53.884167,1,1
Bodzanów,20.02945,52.49992,1,1
Bolekhiv,23.86435,49.06607,1,1
Bolimów,20.163056,52.076389,1,1
Brodnica,19.39653,53.25967,1,1
Brok,21.85704,52.69948,1,1
Broshniv,24.19748,48.99621,1,1
BrzescKujawski,18.90173,52.60532,1,1
Brzeszcze,19.15157,49.98203,1,1
Brzostek,21.4083,49.8798,1,1
Brzozów,22.01926,49.69501,1,1
Bukachivtsi,24.49779,49.25458,1,1
Burshtyn,24.62777,49.25867,1,1
Burzenin,18.83233,51.46077,1,1
Busk,24.61227,49.96548,1,1
Bydgoszcz-Fordona,18.00762,53.1235,1,1
Checiny,20.46229,50.80021,1,1
Chelmno,18.4251,53.34855,1,1
Chelmza,18.60466,53.18463,1,1
Chernylytsia,25.43,48.811111,1,1
Chmielnik,20.749722,50.611667,1,1
Choroszcz,22.985556,53.143056,1,1
Chorzele,20.89728,53.26075,1,1
Chorzów,18.9742,50.30582,1,1
Ciechanowiec,22.49815,52.67828,1,1
Ciechocinek,18.79505,52.87908,1,1
Cieszowa,18.83821,50.67114,1,1
Cisna,22.32795,49.21328,1,1
Czarnków,16.56413,52.90214,1,1
CzarnyDunajec,19.85161,49.43663,1,1
Czeladz,19.07824,50.31542,1,1
CzerwinsknadWisla,20.3096,52.39828,1,1
Dabie,18.821944,52.086944,1,1
Daleszyce,20.80791,50.80229,1,1
Deblin,21.84829,51.55912,1,1
Dobra,18.615361,51.916233,1,1
Dolsk,17.06273,51.9818,1,1
Dolyna,25.51381,50.55953,1,1
Druja,27.4505,55.7906,1,1
Dynów,22.23388,49.81506,1,1
Dzialdowo,20.177778,53.236111,1,1
Eišiškes,25,54.16667,1,1
Frampol,22.67061,50.67159,1,1
Gabin,19.73509,52.39849,1,1
Gielniów,20.503,51.3972,1,1
Glowno,19.71565,51.96463,1,1
Gniewków,18.406389,52.895,1,1
Gniewoszów,21.81267,51.47417,1,1
Goniadz,22.73578,53.48953,1,1
Goraj,22.666944,50.721111,1,1
Gorzkowice,19.59626,51.21533,1,1
Grabów,19.009528,52.128333,1,1
Grudziadz,18.75366,53.48411,1,1
Hajnówka,23.58122,52.74328,1,1
Horodenka,25.50163,48.67274,1,1
Hrymajliv,26.009167,49.328611,1,1
Hvizdets,25.283056,48.575278,1,1
Ilza,21.23979,51.16313,1,1
Imielin,19.18599,50.14534,1,1
Inowlodz,20.2128,51.5261,1,1
Ivanivka,25.27458,51.09394,1,1
Ivano-Frankivsk,24.70972,48.9215,1,1
Iwieniec ,26.741667,53.890278,1,1
Iwonicz,21.80168,49.60426,1,1
Izbica,23.156667,50.891667,1,1
JanówSokólski,23.28662,53.45127,1,1
Jaraczewo,17.29707,51.96854,1,1
Jarczów,23.586,50.4464,1,1
Jaslo,21.47252,49.74506,1,1
Jaworzno,19.28617,50.18773,1,1
Jedrzejów,20.30454,50.63945,1,1
Jordanów,19.83,49.649167,1,1
Jutrosin,17.16957,51.65009,1,1
KalwariaZebrzydowska,19.6772,49.86759,1,1
Kanczuga,22.41168,49.98346,1,1
Kartuzy,18.19735,54.33424,1,1
KazimierzDolny,21.95502,51.31911,1,1
Kcynia,17.486667,52.993611,1,1
Kleck,26.6321,53.0635,1,1
Klevan,25.97628,50.74305,1,1
Klimontów,21.45587,50.65588,1,1
Kobryn,24.3564,52.2138,1,1
Kolbiel,21.467778,52.059722,1,1
Kolbuszowa,21.7761,50.2441,1,1
Kolno,21.92905,53.41148,1,1
Komarno,23.69952,49.62739,1,1
Koniecpol,19.68896,50.77468,1,1
Konskie,20.40607,51.19166,1,1
Kopychyntsi,25.91026,49.10441,1,1
Koronów,17.93723,53.31321,1,1
Koscian,16.640394,52.08152,1,1
Kosiv,25.03649,48.53115,1,1
KosówLacki,22.14707,52.59541,1,1
Koszyce,20.573056,50.170278,1,1
Kovel,24.70867,51.21526,1,1
Kozminek,18.33893,51.79874,1,1
KozminWielkopolski,17.45391,51.82712,1,1
Krakovets,23.15911,49.95876,1,1
Krasnobród,23.215278,50.544722,1,1
Krasnopol,23.203889,54.116944,1,1
Krasnosielc,21.156528,53.034583,1,1
Krasnystaw,23.169722,50.983889,1,1
Kremenets,25.72459,50.09693,1,1
KroscienkonadDunajcem,20.42624,49.44081,1,1
Krosniewice,19.17037,52.25592,1,1
Krosno,21.765833,49.682222,1,1
Krynica-Zdrój,20.95942,49.42225,1,1
Krzeszów,22.341111,50.403889,1,1
KsiazWielki,20.14026,50.44351,1,1
KsiazWielkopolski,17.23952,52.06167,1,1
Kurów,22.18637,51.38941,1,1
Kutno,19.36409,52.23064,1,1
Kuznica,23.645,53.509722,1,1
Labiszyn,17.91971,52.9521,1,1
Labowa,20.8644,49.4926,1,1
Laszczów,23.7187,50.5324,1,1
Ledziny,19.13149,50.14264,1,1
Limanowa,20.42204,49.70594,1,1
Lomianki,20.88602,52.33413,1,1
Lopatyn,24.84831,50.22022,1,1
Lubawa,19.74966,53.50428,1,1
Lubraniec,18.83254,52.54178,1,1
Lutomiersk,19.21097,51.75376,1,1
Lututów,18.4348,51.37033,1,1
Magnuszewo,21.20276,52.79874,1,1
Maheriv,23.70106,50.10837,1,1
Malogoszcz,20.26407,50.81214,1,1
Medyka,22.92229,49.80526,1,1
Miechów,20.02788,50.35648,1,1
Miedzychód,15.89696,52.59882,1,1
Miedzyrzec,22.78248,51.9864,1,1
Mielnik,23.04365,52.33156,1,1
Mikolów,18.9041,50.17103,1,1
Milówka,19.090278,49.554444,1,1
MinskMazowiecki,21.57251,52.17935,1,1
Mlawa,20.3841,53.11278,1,1
Mlyniv,25.61675,50.509,1,1
Modliborzyce,22.32945,50.75416,1,1
Mogielnica,19.86769,52.73032,1,1
Monastyryska,25.17327,49.08909,1,1
Mosina,16.845,52.246667,1,1
Mostyska,23.15077,49.79467,1,1
Mrzyglód,19.3634,50.5418,1,1
Mstów,19.28547,50.82969,1,1
MurowanaGoslina,17.00933,52.57463,1,1
Muszyna,20.89718,49.35661,1,1
Nadyby,23.08309,49.54254,1,1
Narewka,23.76283,52.83311,1,1
Nasielsk,20.80553,52.58887,1,1
Niebylec,21.93105,49.8498,1,1
Niepolomice,20.2118,50.0344,1,1
Nieswiez,26.6779,53.2189,1,1
Nisko,22.13968,50.51987,1,1
NowaBrzeznica,19.1345,51.0514,1,1
NoweMiasto,19.59515,53.42079,1,1
Nowotaniec,22.03222,49.51239,1,1
NowyDwórMazowiecki,20.71652,52.43022,1,1
NowyTomysl,16.12844,52.3195,1,1
Odolanów,17.6699,51.5781,1,1
Olesko,24.89336,49.96233,1,1
Oleszyce,23.03481,50.1675,1,1
Olkusz,19.56503,50.2813,1,1
Olpiny,21.20464,49.80686,1,1
Opatów,21.42538,50.80058,1,1
Opoczno,20.27827,51.37569,1,1
Osjaków,18.79151,51.28946,1,1
Ostroh,26.51425,50.32942,1,1
OstrowiecSwietokrzyski,21.38525,50.92936,1,1
Oszmiana,25.936,54.421,1,1
Ozarów,20.79716,52.21039,1,1
